,Symbol,Type
1158,TTD,GAINERS
1159,TTEK,LOOSERS
1160,TTWO,SP500
1161,TUIFY,LOOSERS
1162,TV,GAINERS
1163,TWST,GAINERS
1164,TWTR,SP500
1165,TWTR,ACTIVES
1166,TXG,GAINERS
1167,TXN,SP500
1168,TXN,NASDAQ
1169,TXT,SP500
1170,TYL,SP500
1171,UA,SP500
1172,UAA,SP500
1173,UAL,ACTIVES
1174,UAL,SP500
1175,UBER,ACTIVES
1176,UDR,LOOSERS
1177,UDR,SP500
1178,UGP,GAINERS
1179,UHS,SP500
1180,ULTA,SP500
1181,UMICY,LOOSERS
1182,UNCRY,LOOSERS
1183,UNH,DJI
1184,UNH,SP500
1185,UNM,SP500
1186,UNP,TRENDING
1187,UNP,SP500
1188,UPS,SP500
1189,UPS,ACTIVES
1190,UPST,GAINERS
1191,URI,SP500
1192,URW.AS,DAX
1193,URW.AS,CAC40
1194,USB,SP500
1195,USB,ACTIVES
1196,UTZ,GAINERS
1197,UWMC,ACTIVES
1198,V,LOOSERS
1199,V,DJI
1200,V,SP500
1201,V,ACTIVES
1202,VALE,ACTIVES
1203,VAR,SP500
1204,VCEL,ACTIVES
1205,VCEL,GAINERS
1206,VCYT,GAINERS
1207,VEON,ACTIVES
1208,VERX,GAINERS
1209,VFC,SP500
1210,VIAC,SP500
1211,VIAC,ACTIVES
1212,VIE.PA,DAX
1213,VIE.PA,CAC40
1214,VIV.PA,CAC40
1215,VIV.PA,DAX
1216,VLKAF,LOOSERS
1217,VLO,ACTIVES
1218,VLO,SP500
1219,VLY,ACTIVES
1220,VMC,SP500
1221,VNET,LOOSERS
1222,VNO,SP500
1223,VNT,ACTIVES
1224,VNT,SP500
1225,VRSK,NASDAQ
1226,VRSK,SP500
1227,VRSN,NASDAQ
1228,VRSN,SP500
1229,VRTX,SP500
1230,VRTX,NASDAQ
1231,VSTO,GAINERS
1232,VTR,SP500
1233,VTRS,SP500
1234,VTRS,TRENDING
1235,VTRS,ACTIVES
1236,VWAGY,LOOSERS
1237,VXF,TRENDING
1238,VYGVF,GAINERS
1239,VZ,SP500
1240,VZ,ACTIVES
1241,VZ,DJI
1242,WAB,SP500
1243,WAT,SP500
1244,WBA,ACTIVES
1245,WBA,NASDAQ
1246,WBA,DJI
1247,WBA,SP500
1248,WD,LOOSERS
1249,WDAY,NASDAQ
1250,WDC,SP500
1251,WEC,SP500
1252,WELL,SP500
1253,WFC,SP500
1254,WFC,ACTIVES
1255,WFC,LOOSERS
1256,WHR,SP500
1257,WIX,LOOSERS
1258,WLN.PA,CAC40
1259,WLN.PA,DAX
1260,WLTW,SP500
1261,WM,SP500
1262,WMB,SP500
1263,WMB,ACTIVES
1264,WMT,SP500
1265,WMT,DJI
1266,WMT,ACTIVES
1267,WORK,ACTIVES
1268,WRB,LOOSERS
1269,WRB,SP500
1270,WRK,SP500
1271,WSM,GAINERS
1272,WST,SP500
1273,WTBDY,LOOSERS
1274,WU,SP500
1275,WU,ACTIVES
1276,WXXWY,LOOSERS
1277,WY,SP500
1278,WYNN,SP500
1279,X,ACTIVES
1280,XEL,NASDAQ
1281,XEL,SP500
1282,XLNX,SP500
1283,XLNX,NASDAQ
1284,XOM,SP500
1285,XOM,ACTIVES
1286,XP,GAINERS
1287,XPEV,ACTIVES
1288,XPEV,GAINERS
1289,XRAY,SP500
1290,XRX,ACTIVES
1291,XRX,SP500
1292,XYL,SP500
1293,YAHOY,LOOSERS
1294,YALA,GAINERS
1295,YUM,SP500
1296,ZBH,SP500
1297,ZBRA,SP500
1298,ZIM,GAINERS
1299,ZION,SP500
1300,ZM,NASDAQ
1301,ZNGA,ACTIVES
1302,ZTO,LOOSERS
1303,ZTS,SP500
