,Symbol,Type
264,CLNE,GAINERS
265,CLNE,ACTIVES
266,CLOV,ACTIVES
267,CLR,GAINERS
268,CLVT,ACTIVES
269,CLX,SP500
270,CMA,SP500
271,CMCSA,ACTIVES
272,CMCSA,SP500
273,CMCSA,NASDAQ
274,CME,SP500
275,CMG,SP500
276,CMI,SP500
277,CMS,SP500
278,CNC,SP500
279,CNI,TRENDING
280,CNP,SP500
281,CNR.TO,TRENDING
282,CNX,GAINERS
283,COF,SP500
284,COG,SP500
285,COO,SP500
286,COP,ACTIVES
287,COP,SP500
288,COST,NASDAQ
289,COST,SP500
290,CP,TRENDING
291,CP.TO,TRENDING
292,CPB,SP500
293,CPCAF,LOOSERS
294,CPG,GAINERS
295,CPKPY,LOOSERS
296,CPRT,NASDAQ
297,CPRT,SP500
298,CPT,LOOSERS
299,CRC,GAINERS
300,CRM,DJI
301,CRM,SP500
302,CRSP,GAINERS
303,CS.PA,CAC40
304,CS.PA,DAX
305,CSCO,DJI
306,CSCO,NASDAQ
307,CSCO,ACTIVES
308,CSCO,SP500
309,CSIQ,GAINERS
310,CSX,NASDAQ
311,CSX,SP500
312,CSX,TRENDING
313,CTAS,NASDAQ
314,CTAS,SP500
315,CTLT,SP500
316,CTSH,SP500
317,CTSH,NASDAQ
318,CTVA,SP500
319,CTXS,SP500
320,CUBE,LOOSERS
321,CUZ,LOOSERS
322,CVAC,GAINERS
323,CVCO,GAINERS
324,CVET,GAINERS
325,CVS,SP500
326,CVX,ACTIVES
327,CVX,DJI
328,CVX,SP500
329,CX,LOOSERS
330,CZR,ACTIVES
331,D,SP500
332,DAL,SP500
333,DAL,ACTIVES
334,DCPH,GAINERS
335,DD,SP500
336,DDD,LOOSERS
337,DE,SP500
338,DEI,LOOSERS
339,DEN,GAINERS
340,DFH,LOOSERS
341,DFIFF,GAINERS
342,DFS,SP500
343,DG,SP500
344,DG,GAINERS
345,DG.PA,CAC40
346,DG.PA,DAX
347,DGX,SP500
348,DHI,SP500
349,DHR,SP500
350,DIOD,GAINERS
351,DIS,SP500
352,DIS,DJI
353,DIS,ACTIVES
354,DISCA,SP500
355,DISCK,SP500
356,DISH,SP500
357,DKNG,ACTIVES
358,DKNG,GAINERS
359,DKS,GAINERS
360,DLAKY,LOOSERS
361,DLR,SP500
362,DLTR,NASDAQ
363,DLTR,SP500
364,DM,GAINERS
365,DM,ACTIVES
366,DNLI,GAINERS
367,DNMR,GAINERS
368,DOC,LOOSERS
369,DOCU,NASDAQ
370,DOV,SP500
371,DOW,SP500
372,DOW,DJI
373,DOYU,GAINERS
374,DPZ,SP500
375,DRE,SP500
376,DRH,LOOSERS
377,DRI,SP500
378,DSP,GAINERS
379,DSY.PA,CAC40
380,DSY.PA,DAX
381,DTE,SP500
382,DUK,ACTIVES
383,DUK,SP500
384,DVA,SP500
385,DVN,ACTIVES
386,DVN,SP500
387,DXC,SP500
388,DXCM,NASDAQ
389,DXCM,SP500
390,EA,NASDAQ
391,EA,SP500
392,EBAY,SP500
393,EBAY,NASDAQ
394,EBR-B,GAINERS
395,ECL,SP500
396,ED,SP500
397,EDIT,GAINERS
398,EEENF,TRENDING
399,EEFT,LOOSERS
400,EFX,SP500
401,EGP,LOOSERS
402,EIX,SP500
403,EL,SP500
404,EL.PA,DAX
405,EL.PA,CAC40
406,ELAN,LOOSERS
407,ELY,LOOSERS
408,EMN,SP500
409,EMR,SP500
410,EN.PA,CAC40
411,EN.PA,DAX
412,ENGI.PA,CAC40
413,ENGI.PA,DAX
414,ENPH,SP500
415,ENPH,GAINERS
416,EOG,SP500
417,EPRT,LOOSERS
418,EQIX,SP500
419,EQR,LOOSERS
420,EQR,SP500
421,EQT,GAINERS
422,ERIXF,LOOSERS
423,ES,SP500
424,ESS,SP500
425,ESS,LOOSERS
426,ET,ACTIVES
427,ETN,LOOSERS
428,ETN,SP500
429,ETN,ACTIVES
430,ETR,SP500
431,ETRN,GAINERS
432,ETSY,SP500
433,EVRG,SP500
434,EW,SP500
435,EXAS,GAINERS
436,EXC,SP500
437,EXC,NASDAQ
438,EXPD,SP500
439,EXPE,SP500
440,EXPI,GAINERS
441,EXR,LOOSERS
442,EXR,SP500
443,F,ACTIVES
444,F,SP500
445,FANG,SP500
446,FANUY,LOOSERS
447,FAST,ACTIVES
448,FAST,SP500
449,FAST,NASDAQ
450,FATE,GAINERS
451,FB,SP500
452,FB,ACTIVES
453,FB,NASDAQ
454,FB,GAINERS
455,FBHS,SP500
456,FCEL,ACTIVES
457,FCEL,GAINERS
458,FCFS,LOOSERS
459,FCX,SP500
460,FCX,ACTIVES
461,FDVRF,GAINERS
462,FDX,ACTIVES
463,FDX,SP500
464,FDX,GAINERS
465,FE,SP500
466,FFIV,SP500
467,FGEN,GAINERS
468,FHN,ACTIVES
469,FINV,LOOSERS
470,FIS,SP500
471,FISV,SP500
472,FISV,NASDAQ
473,FITB,ACTIVES
474,FITB,SP500
475,FITGF,GAINERS
476,FIVE,GAINERS
477,FLIR,SP500
478,FLOW,LOOSERS
479,FLR,LOOSERS
480,FLS,SP500
481,FLS,ACTIVES
482,FLT,SP500
483,FMC,SP500
484,FND,GAINERS
485,FNF,LOOSERS
486,FOX,SP500
487,FOX,NASDAQ
488,FOXA,NASDAQ
489,FOXA,SP500
490,FP.PA,CAC40
491,FP.PA,DAX
492,FQVLF,LOOSERS
493,FRC,SP500
494,FROG,GAINERS
495,FRT,SP500
496,FSR,ACTIVES
497,FSS,LOOSERS
498,FTCH,ACTIVES
499,FTI,ACTIVES
500,FTNT,SP500
501,FTV,SP500
502,FUBO,GAINERS
503,GBCI,LOOSERS
504,GBOOY,LOOSERS
505,GCPEF,LOOSERS
506,GD,SP500
507,GE,SP500
508,GE,ACTIVES
509,GFI,ACTIVES
510,GGB,ACTIVES
511,GILD,SP500
512,GILD,NASDAQ
513,GILD,ACTIVES
514,GIS,SP500
515,GL,SP500
516,GLCNF,LOOSERS
517,GLE.PA,CAC40
518,GLE.PA,DAX
519,GLW,ACTIVES
520,GLW,SP500
521,GM,SP500
522,GM,ACTIVES
523,GME,ACTIVES
524,GNRC,ACTIVES
525,GOEV,ACTIVES
526,GOLD,ACTIVES
527,GOOG,SP500
528,GOOG,NASDAQ
529,GOOGL,NASDAQ
530,GOOGL,SP500
531,GPC,SP500
532,GPN,SP500
533,GPS,SP500
534,GRMN,SP500
535,GRWG,GAINERS
536,GS,DJI
537,GS,SP500
538,GSAT,ACTIVES
539,GSX,LOOSERS
540,GWW,SP500
541,HAL,SP500
542,HAL,ACTIVES
543,HAS,SP500
544,HBAN,SP500
545,HBAN,ACTIVES
546,HBI,SP500
547,HCA,SP500
548,HD,DJI
549,HD,SP500
550,HD,ACTIVES
551,HEI,LOOSERS
552,HES,SP500
553,HFC,SP500
554,HIG,ACTIVES
555,HIG,SP500
556,HII,SP500
557,HIMS,TRENDING
558,HIMS,LOOSERS
559,HL,ACTIVES
560,HLT,SP500
561,HNHPF,LOOSERS
562,HO.PA,CAC40
563,HO.PA,DAX
564,HOLX,SP500
565,HOME,GAINERS
566,HON,SP500
567,HON,DJI
568,HPE,ACTIVES
569,HPE,SP500
570,HPQ,SP500
571,HPQ,ACTIVES
572,HRL,SP500
573,HSIC,SP500
574,HST,SP500
575,HSY,SP500
576,HUBS,GAINERS
577,HUM,SP500
578,HUYA,GAINERS
579,HWM,SP500
580,IBM,DJI
581,IBM,SP500
582,ICE,SP500
583,IDXX,NASDAQ
584,IDXX,SP500
585,IEX,SP500
586,IFF,SP500
587,IGMS,GAINERS
588,ILMN,NASDAQ
589,ILMN,SP500
590,IMPUY,LOOSERS
591,INCY,NASDAQ
592,INCY,SP500
593,INFO,SP500
594,INFY,ACTIVES
595,INO,ACTIVES
596,INTC,NASDAQ
597,INTC,DJI
598,INTC,ACTIVES
599,INTC,SP500
600,INTU,NASDAQ
601,INTU,SP500
602,IP,SP500
603,IPAR,LOOSERS
604,IPG,ACTIVES
605,IPG,SP500
606,IPGP,SP500
607,IQ,GAINERS
608,IQV,SP500
609,IR,SP500
610,IRM,SP500
611,IRTC,GAINERS
612,ISRG,NASDAQ
613,ISRG,SP500
614,IT,SP500
615,ITUB,ACTIVES
616,ITW,SP500
617,IVZ,SP500
618,J,SP500
619,JBGS,LOOSERS
620,JBHT,SP500
621,JBSAY,GAINERS
622,JCI,SP500
623,JD,NASDAQ
624,JD,ACTIVES
625,JKHY,SP500
626,JMIA,ACTIVES
627,JNJ,DJI
628,JNJ,SP500
629,JNJ,ACTIVES
630,JNPR,SP500
631,JPM,ACTIVES
632,JPM,DJI
633,JPM,SP500
634,JUSHF,TRENDING
635,K,SP500
636,KDP,NASDAQ
637,KDP,ACTIVES
638,KER.PA,DAX
639,KER.PA,CAC40
640,KEY,SP500
641,KEY,ACTIVES
642,KEYS,SP500
643,KGC,ACTIVES
644,KHC,SP500
645,KHC,NASDAQ
646,KIM,SP500
647,KLAC,SP500
648,KLAC,NASDAQ
649,KMB,SP500
650,KMI,ACTIVES
651,KMI,SP500
652,KMX,SP500
653,KO,SP500
654,KO,DJI
655,KO,ACTIVES
656,KOD,GAINERS
657,KR,ACTIVES
658,KR,SP500
659,KSU,SP500
660,KSU,TRENDING
661,L,SP500
662,LAMR,LOOSERS
663,LAZR,ACTIVES
664,LAZR,GAINERS
665,LB,SP500
666,LBRT,LOOSERS
667,LCII,LOOSERS
668,LDI,GAINERS
669,LDOS,SP500
670,LEA,LOOSERS
671,LEG,SP500
672,LEN,SP500
673,LGGNF,LOOSERS
674,LH,SP500
675,LHX,SP500
676,LI,ACTIVES
677,LI,GAINERS
678,LIN,SP500
679,LKNCY,GAINERS
680,LKQ,SP500
681,LLDTF,GAINERS
682,LLY,SP500
683,LMT,SP500
684,LNC,SP500
685,LNT,SP500
686,LOW,SP500
687,LR.PA,DAX
688,LR.PA,CAC40
689,LRCX,SP500
690,LRCX,NASDAQ
691,LRENY,GAINERS
692,LSI,LOOSERS
693,LTGHY,GAINERS
694,LULU,NASDAQ
695,LUMN,ACTIVES
696,LUMN,SP500
697,LUV,SP500
698,LVS,SP500
699,LW,SP500
700,LX,LOOSERS
701,LYB,SP500
702,LYV,SP500
703,LYV,LOOSERS
704,M,ACTIVES
705,MA,SP500
706,MA,ACTIVES
707,MA,LOOSERS
708,MAA,SP500
709,MAA,LOOSERS
710,MAR,SP500
711,MAR,NASDAQ
712,MARA,ACTIVES
713,MAS,SP500
714,MC.PA,DAX
715,MC.PA,CAC40
716,MCD,DJI
717,MCD,SP500
718,MCHP,NASDAQ
719,MCHP,SP500
720,MCK,SP500
721,MCO,SP500
722,MDLZ,ACTIVES
723,MDLZ,SP500
724,MDLZ,NASDAQ
725,MDT,SP500
726,MELI,NASDAQ
727,MET,SP500
728,MET,ACTIVES
729,MGM,SP500
730,MGNI,GAINERS
731,MGY,GAINERS
732,MHK,SP500
733,MKC,SP500
734,MKTX,SP500
735,ML.PA,CAC40
736,ML.PA,DAX
737,MLM,SP500
738,MMC,SP500
739,MMEDF,TRENDING
740,MMM,DJI
741,MMM,SP500
742,MNST,SP500
743,MNST,NASDAQ
744,MO,ACTIVES
745,MO,SP500
746,MODV,GAINERS
747,MOS,SP500
748,MP,GAINERS
749,MP,ACTIVES
750,MPC,SP500
751,MPC,ACTIVES
752,MPWR,SP500
753,MRK,ACTIVES
754,MRK,DJI
755,MRK,SP500
756,MRNA,NASDAQ
757,MRO,SP500
758,MRO,ACTIVES
759,MRVL,NASDAQ
760,MS,ACTIVES
761,MS,SP500
762,MSA,LOOSERS
763,MSCI,SP500
764,MSFT,DJI
765,MSFT,TRENDING
766,MSFT,ACTIVES
767,MSFT,SP500
768,MSFT,NASDAQ
769,MSI,SP500
770,MSTR,GAINERS
771,MT.AS,CAC40
772,MT.AS,DAX
773,MTB,SP500
774,MTCH,NASDAQ
775,MTD,SP500
776,MTDR,GAINERS
777,MTLS,GAINERS
778,MU,ACTIVES
779,MU,NASDAQ
780,MU,SP500
781,MUR,GAINERS
782,MUSA,GAINERS
783,MVIS,GAINERS
